iso3,pays_bm,pib_par_hab_usd,croissance_pib,inflation,stabilite_politique,part_urbaine_pct
IND,India,1981.65,6.8,3.33,-0.96,33.7
IDN,Indonesia,3895.18,5.07,3.81,-0.37,55.0
IRN,"Iran, Islamic Republic of",5594.71,3.78,9.6,-1.52,74.4
IRQ,Iraq,5114.16,-2.5,0.1,-2.39,70.4
IRL,Ireland,69330.69,9.1,0.3,1.04,63.1
ISR,Israel,41614.3,3.5,0.21,-1.0,92.4
ITA,Italy,32328.28,1.7,1.23,0.39,69.9
JAM,Jamaica,4878.1,0.74,4.39,-0.04,55.1
JPN,Japan,38813.97,2.2,0.47,1.03,91.5
JOR,Jordan,4112.69,2.1,3.32,-0.63,90.8
KAZ,Kazakhstan,9277.89,4.1,7.43,-0.21,57.3
KEN,Kenya,1572.03,4.81,8.01,-1.18,26.6
KOR,"Korea, Republic of",31600.78,3.16,1.94,0.58,81.5
KWT,Kuwait,29615.72,-4.71,1.73,0.34,100.0
KGZ,Kyrgyz Republic,1220.1,4.7,3.18,-0.39,36.1
LAO,Lao People's Democratic Republic,2542.87,6.9,0.83,0.41,33.8
LVA,Latvia,15665.62,3.83,2.93,0.66,67.7
LBN,Lebanon,8270.79,0.91,4.48,-1.39,88.6
LSO,Lesotho,1163.16,-1.5,4.39,-0.16,28.2
LBR,Liberia,660.65,2.5,12.42,-0.93,50.8
LBY,Libya,7242.48,26.66,28.4,-2.42,80.1
LTU,Lithuania,16886.81,4.3,3.74,1.04,67.5
LUX,Luxembourg,107708.04,1.34,2.1,1.41,90.9
MDG,Madagascar,448.83,3.97,8.61,-0.55,37.2
MWI,Malawi,368.65,4.0,11.55,-0.36,16.7
MYS,Malaysia,9952.14,5.94,3.87,0.21,75.4
MDV,Maldives,10334.64,7.2,2.79,1.32,38.6
MLI,Mali,841.61,5.3,1.79,-1.96,42.0
MLT,Malta,27246.4,9.61,1.36,1.18,94.6
MRT,Mauritania,1156.81,3.0,2.27,-0.47,53.7
MUS,Mauritius,10491.42,3.8,3.67,0.94,40.8
MEX,Mexico,9288.04,2.1,6.04,-0.81,80.0
MDA,"Moldova, Republic of",2737.81,4.2,6.55,-0.39,42.6
MNG,Mongolia,3640.3,5.3,4.3,0.59,68.4
MNE,Montenegro,7773.1,4.7,2.43,0.32,66.7
MAR,Morocco,3151.37,3.99,0.75,-0.4,62.0
MOZ,Mozambique,502.91,3.74,15.31,-0.66,35.6
MMR,Myanmar,1240.27,5.8,4.57,-0.96,30.5
NAM,Namibia,5232.49,-1.05,6.15,0.69,49.6
NPL,Nepal,1024.16,8.97,4.1,-0.32,19.1
NLD,Netherlands,48796.51,2.93,1.38,0.94,90.5
NZL,New Zealand,42940.76,3.5,1.85,1.5,86.5
NIC,Nicaragua,2161.65,4.6,3.85,-0.2,58.7
NER,Niger,380.86,5.0,0.16,-1.47,16.4
NGA,Nigeria,1968.56,0.82,16.52,-1.84,49.5
MKD,North Macedonia,5474.45,1.1,1.36,-0.07,57.7
NOR,Norway,75704.45,2.3,1.87,1.36,82.0
OMN,Oman,16041.78,0.3,1.66,0.61,84.0
PAK,Pakistan,1547.85,5.55,4.09,-2.27,36.4
PAN,Panama,15089.9,5.31,0.88,0.37,67.4
PNG,Papua New Guinea,2768.99,3.5,5.42,-0.74,13.2
PRY,Paraguay,5728.03,4.79,3.59,0.06,61.4
PER,Peru,6710.0,2.52,2.8,-0.2,77.7
PHL,Philippines,3107.55,6.93,2.86,-1.41,46.9
POL,Poland,13864.12,4.8,2.04,0.66,60.0
PRT,Portugal,21568.61,3.5,1.37,1.04,64.5
QAT,Qatar,61264.4,1.6,0.4,0.97,99.1
ROU,Romania,10818.48,7.1,1.34,0.33,54.0
RUS,Russian Federation,10743.1,1.83,3.68,-0.61,74.4
RWA,Rwanda,772.94,3.97,4.84,-0.19,17.0
WSM,Samoa,4344.56,1.45,1.32,1.07,17.9
SAU,Saudi Arabia,20760.91,-0.74,-0.84,-0.59,83.7
SEN,Senegal,1331.73,7.4,1.32,-0.04,46.9
SRB,Serbia,6202.34,2.05,3.13,-0.07,55.9
SLE,Sierra Leone,499.12,3.8,18.22,-0.62,42.0
SGP,Singapore,60914.27,4.55,0.58,1.49,100.0
SVK,Slovakia,17590.45,2.93,1.3,1.04,53.7
SVN,Slovenia,23507.68,4.84,1.43,1.04,54.4
SLB,Solomon Islands,2048.85,3.2,0.49,0.79,23.6
ZAF,South Africa,6679.89,1.41,5.27,-0.27,65.9
ESP,Spain,28208.8,3.0,1.96,0.4,80.1
LKA,Sri Lanka,4143.69,3.4,7.71,0.05,18.4
SDN,Sudan,2769.31,0.81,32.36,-1.85,34.4
SUR,Suriname,6234.53,1.85,22.02,0.07,66.1
SWE,Sweden,53792.55,2.81,1.79,1.04,87.4
CHE,Switzerland,80344.85,1.69,0.53,1.41,73.7
SYR,Syrian Arab Republic,2032.1,1.9,28.1,-2.83,54.2
TJK,Tajikistan,824.37,7.1,7.34,-0.78,27.1
TZA,"Tanzania, United Republic of",1006.59,6.8,5.32,-0.37,33.8
THA,Thailand,6593.76,4.13,0.67,-0.79,49.2
TLS,Timor-Leste,2080.37,-3.79,0.53,0.07,30.6
TGO,Togo,611.98,4.4,-0.2,-0.45,41.7
TON,Tonga,4427.9,3.2,7.5,1.07,23.1
TTO,Trinidad and Tobago,16193.99,-2.32,1.92,0.01,53.2
TUN,Tunisia,3490.83,1.96,5.31,-0.92,68.9
TUR,Turkey,10546.92,7.5,11.14,-1.36,75.1
TKM,Turkmenistan,6566.94,6.5,8.0,0.0,51.6
UGA,Uganda,641.62,3.83,5.62,-0.84,23.4
UKR,Ukraine,2640.32,2.4,14.44,-1.94,69.3
ARE,United Arab Emirates,40642.16,2.4,1.97,0.66,86.5
GBR,United Kingdom,40361.42,1.85,2.56,0.43,83.1
USA,United States,59907.75,2.33,2.13,0.3,82.1
URY,Uruguay,17277.94,2.6,6.21,1.07,95.3
UZB,Uzbekistan,1841.59,4.4,12.49,-0.46,50.4
VUT,Vanuatu,3022.39,4.43,3.15,1.04,25.4
VEN,"Venezuela, Bolivarian Republic of",4140.25,-15.76,438.12,-1.56,87.8
VNM,Viet Nam,2365.61,6.81,3.52,0.18,35.2
YEM,Yemen,696.21,-5.94,30.39,-2.78,36.6
ZMB,Zambia,1551.34,3.5,6.58,0.04,42.5
ZWE,Zimbabwe,1548.16,4.71,0.9,-1.16,32.2
PSE,"Palestine, State of",3199.83,3.14,0.18,-1.82,75.5
SOM,Somalia,315.0,1.4,5.23,-2.69,45.0
XKX,Kosovo,4001.34,4.2,1.5,-0.36,38.5
